Населённый пункт,Год,Месяц,День,Время_суток,Температура,Скорость_ветра(м/с),Направление_ветра,Давление,Влажность,Осадки_(м/м),Погода
strelna,2019,august,18,вечер,+22°,4,Восточный ветер,759,43,без осадков,ясно
strelna,2019,august,19,ночь,+12°,3,Восточный ветер,759,93,без осадков,ясно
strelna,2019,august,19,утро,+15°,3,Восточный ветер,759,100,без осадков,ясно
strelna,2019,august,19,день,+23°,7,Юго-восточный ветер,757,64,без осадков,облачно
strelna,2019,august,19,вечер,+22°,6,Южный ветер,758,60,без осадков,ясно
strelna,2019,august,20,ночь,+16°,3,Западный ветер,760,93,без осадков,пасмурно
strelna,2019,august,20,утро,+17°,4,Юго-западный ветер,762,100,без осадков,малооблачно
strelna,2019,august,20,день,+21°,6,Западный ветер,764,60,без осадков,пасмурно
strelna,2019,august,20,вечер,+21°,3,Юго-западный ветер,765,56,без осадков,пасмурно
strelna,2019,august,21,ночь,+14°,2,Северный ветер,765,87,без осадков,малооблачно
strelna,2019,august,21,утро,+14°,2,Южный ветер,767,93,без осадков,туман
strelna,2019,august,21,день,+20°,4,Юго-западный ветер,768,63,без осадков,ясно
strelna,2019,august,21,вечер,+17°,2,Юго-западный ветер,767,82,без осадков,дождь
strelna,2019,august,22,ночь,+14°,1,Юго-западный ветер,765,100,без осадков,дождь
strelna,2019,august,22,утро,+15°,3,Юго-западный ветер,765,100,без осадков,пасмурно
strelna,2019,august,22,день,+18°,7,Западный ветер,765,72,без осадков,пасмурно
strelna,2019,august,22,вечер,+19°,6,Западный ветер,767,46,без осадков,малооблачно
strelna,2019,august,23,ночь,+12°,2,Юго-западный ветер,768,87,без осадков,ясно
strelna,2019,august,23,утро,+14°,3,Юго-западный ветер,768,82,без осадков,ясно
strelna,2019,august,23,день,+20°,7,Юго-западный ветер,768,72,без осадков,пасмурно
strelna,2019,august,23,вечер,+21°,7,Южный ветер,767,49,без осадков,пасмурно
strelna,2019,august,24,ночь,+14°,4,Юго-восточный ветер,762,87,без осадков,дождь
strelna,2019,august,24,утро,+15°,3,Юго-западный ветер,762,87,без осадков,пасмурно
strelna,2019,august,24,день,+18°,8,Западный ветер,764,72,без осадков,пасмурно
strelna,2019,august,24,вечер,+18°,8,Западный ветер,766,59,без осадков,пасмурно
strelna,2019,august,25,ночь,+11°,4,Западный ветер,768,87,без осадков,облачно
strelna,2019,august,25,утро,+14°,3,Юго-западный ветер,770,93,без осадков,ясно
strelna,2019,august,25,день,+19°,3,Западный ветер,771,68,без осадков,малооблачно
strelna,2019,august,25,вечер,+19°,3,Западный ветер,771,56,без осадков,малооблачно
strelna,2019,august,26,ночь,+12°,2,Северный ветер,769,82,без осадков,ясно
strelna,2019,august,26,утро,+15°,4,Юго-западный ветер,767,76,без осадков,ясно
strelna,2019,august,26,день,+20°,6,Юго-западный ветер,766,60,без осадков,ясно
strelna,2019,august,26,вечер,+19°,8,Западный ветер,765,64,без осадков,пасмурно
strelna,2019,august,27,ночь,+15°,4,Западный ветер,765,93,без осадков,малооблачно
strelna,2019,august,27,утро,+15°,3,Западный ветер,767,77,без осадков,ясно
strelna,2019,august,27,день,+18°,5,Западный ветер,768,63,без осадков,ясно
strelna,2019,august,27,вечер,+19°,4,Северо-западный ветер,768,46,без осадков,ясно
strelna,2019,august,28,ночь,+11°,0,нет,769,82,без осадков,ясно
strelna,2019,august,28,утро,+16°,2,Южный ветер,771,81,без осадков,ясно
strelna,2019,august,28,день,+23°,4,Юго-западный ветер,770,52,без осадков,ясно
strelna,2019,august,28,вечер,+23°,4,Южный ветер,769,44,без осадков,ясно
strelna,2019,august,29,ночь,+13°,2,Северный ветер,768,77,без осадков,ясно
strelna,2019,august,29,утро,+17°,2,Восточный ветер,768,87,без осадков,ясно
strelna,2019,august,29,день,+24°,4,Юго-восточный ветер,767,49,без осадков,ясно
strelna,2019,august,29,вечер,+24°,4,Юго-восточный ветер,765,41,без осадков,ясно
strelna,2019,august,30,ночь,+12°,2,Северный ветер,765,77,без осадков,ясно
strelna,2019,august,30,утро,+14°,2,Восточный ветер,764,87,без осадков,ясно
strelna,2019,august,30,день,+23°,4,Юго-восточный ветер,763,60,без осадков,ясно
strelna,2019,august,30,вечер,+24°,3,Южный ветер,763,53,без осадков,ясно
strelna,2019,august,31,ночь,+16°,3,Западный ветер,764,88,без осадков,ясно
strelna,2019,august,31,утро,+18°,5,Западный ветер,764,88,без осадков,малооблачно
strelna,2019,august,31,день,+21°,5,Западный ветер,765,68,без осадков,пасмурно
strelna,2019,august,31,вечер,+20°,6,Северо-западный ветер,765,64,без осадков,облачно
strelna,2019,september,1,ночь,+12°,2,Юго-западный ветер,765,82,без осадков,ясно
strelna,2019,september,1,утро,+16°,1,Юго-западный ветер,764,100,без осадков,ясно
strelna,2019,september,1,день,+22°,3,Западный ветер,763,64,без осадков,пасмурно
strelna,2019,september,1,вечер,+23°,2,Западный ветер,762,53,без осадков,пасмурно
strelna,2019,september,2,ночь,+13°,2,Южный ветер,762,82,без осадков,ясно
strelna,2019,september,2,утро,+16°,2,Юго-восточный ветер,761,87,без осадков,ясно
strelna,2019,september,2,день,+23°,5,Юго-восточный ветер,760,64,без осадков,малооблачно
strelna,2019,september,2,вечер,+24°,5,Южный ветер,759,47,без осадков,малооблачно
strelna,2019,september,3,ночь,+16°,3,Юго-восточный ветер,759,87,без осадков,ясно
strelna,2019,september,3,утро,+15°,5,Западный ветер,759,82,без осадков,пасмурно
strelna,2019,september,3,день,+18°,5,Западный ветер,761,77,без осадков,пасмурно
strelna,2019,september,3,вечер,+17°,4,Западный ветер,761,72,без осадков,облачно
strelna,2019,september,4,ночь,+12°,2,Северный ветер,761,87,без осадков,дождь
strelna,2019,september,4,утро,+12°,2,Южный ветер,760,93,без осадков,малооблачно
strelna,2019,september,4,день,+18°,3,Южный ветер,760,82,без осадков,пасмурно
strelna,2019,september,4,вечер,+19°,3,Юго-восточный ветер,759,49,без осадков,пасмурно
strelna,2019,september,5,ночь,+13°,5,Южный ветер,759,82,без осадков,ясно
strelna,2019,september,5,утро,+12°,2,Юго-восточный ветер,760,93,без осадков,ясно
strelna,2019,september,5,день,+22°,6,Юго-восточный ветер,759,59,без осадков,малооблачно
strelna,2019,september,5,вечер,+21°,7,Южный ветер,759,46,без осадков,малооблачно
strelna,2019,september,6,ночь,+14°,3,Юго-восточный ветер,758,82,без осадков,ясно
strelna,2019,september,6,утро,+15°,3,Южный ветер,758,82,без осадков,ясно
strelna,2019,september,6,день,+15°,5,Юго-восточный ветер,759,87,без осадков,пасмурно
strelna,2019,september,6,вечер,+16°,6,Южный ветер,760,67,без осадков,малооблачно
strelna,2019,september,7,ночь,+10°,2,Южный ветер,763,82,без осадков,ясно
strelna,2019,september,7,утро,+10°,2,Южный ветер,765,93,без осадков,ясно
strelna,2019,september,7,день,+18°,4,Юго-западный ветер,768,55,без осадков,пасмурно
strelna,2019,september,7,вечер,+18°,3,Южный ветер,768,45,без осадков,малооблачно
strelna,2019,september,8,ночь,+10°,1,Северный ветер,768,87,без осадков,ясно
strelna,2019,september,8,утро,+9°,2,Северный ветер,770,93,без осадков,ясно
strelna,2019,september,8,день,+21°,5,Восточный ветер,771,77,без осадков,ясно
strelna,2019,september,8,вечер,+20°,3,Юго-восточный ветер,770,40,без осадков,малооблачно
strelna,2019,september,9,ночь,+12°,4,Восточный ветер,770,87,без осадков,ясно
strelna,2019,september,9,утро,+12°,5,Восточный ветер,768,87,без осадков,ясно
strelna,2019,september,9,день,+17°,6,Восточный ветер,768,82,без осадков,малооблачно
strelna,2019,september,9,вечер,+20°,4,Восточный ветер,767,64,без осадков,ясно
strelna,2019,september,10,ночь,+13°,2,Восточный ветер,767,100,без осадков,туман
strelna,2019,september,10,утро,+13°,3,Восточный ветер,767,100,без осадков,туман
strelna,2019,september,10,день,+25°,5,Юго-восточный ветер,767,68,без осадков,облачно
strelna,2019,september,10,вечер,+24°,5,Юго-восточный ветер,767,47,без осадков,ясно
strelna,2019,september,11,ночь,+17°,6,Юго-восточный ветер,767,72,без осадков,ясно
strelna,2019,september,11,утро,+16°,4,Юго-восточный ветер,765,87,без осадков,ясно
strelna,2019,september,11,день,+21°,6,Южный ветер,765,72,без осадков,ясно
strelna,2019,september,11,вечер,+21°,6,Южный ветер,764,46,без осадков,ясно
strelna,2019,september,12,ночь,+17°,4,Южный ветер,764,55,без осадков,ясно
strelna,2019,september,12,утро,+17°,4,Южный ветер,764,55,без осадков,ясно
strelna,2019,september,12,день,+17°,4,Южный ветер,764,55,без осадков,ясно
strelna,2019,september,12,вечер,+17°,4,Южный ветер,764,55,без осадков,ясно
strelna,2019,september,13,ночь,+13°,7,Южный ветер,760,87,без осадков,пасмурно
strelna,2019,september,13,утро,+13°,6,Юго-западный ветер,759,82,без осадков,облачно
strelna,2019,september,13,день,+14°,6,Южный ветер,757,87,без осадков,дождь
strelna,2019,september,13,вечер,+15°,5,Юго-западный ветер,756,72,без осадков,облачно
strelna,2019,september,14,ночь,+10°,7,Западный ветер,754,87,без осадков,ясно
strelna,2019,september,14,утро,+10°,7,Западный ветер,756,81,без осадков,пасмурно
strelna,2019,september,14,день,+14°,11,Западный ветер,758,58,без осадков,пасмурно
strelna,2019,september,14,вечер,+13°,10,Западный ветер,759,50,без осадков,пасмурно
strelna,2019,september,15,ночь,+4°,3,Юго-западный ветер,759,87,без осадков,пасмурно
strelna,2019,september,15,утро,+5°,4,Южный ветер,758,87,без осадков,облачно
strelna,2019,september,15,день,+9°,6,Южный ветер,751,87,без осадков,дождь
strelna,2019,september,15,вечер,+8°,7,Юго-восточный ветер,744,87,без осадков,дождь
strelna,2019,september,16,ночь,+9°,8,Юго-западный ветер,741,87,без осадков,пасмурно
strelna,2019,september,16,утро,+9°,4,Юго-западный ветер,740,87,без осадков,дождь
strelna,2019,september,16,день,+12°,10,Юго-западный ветер,740,81,без осадков,пасмурно
strelna,2019,september,16,вечер,+10°,9,Западный ветер,741,76,без осадков,дождь
strelna,2019,september,17,ночь,+7°,4,Западный ветер,744,87,без осадков,пасмурно
strelna,2019,september,17,утро,+7°,5,Юго-западный ветер,744,87,без осадков,пасмурно
strelna,2019,september,17,день,+9°,6,Западный ветер,745,81,без осадков,пасмурно
strelna,2019,september,17,вечер,+9°,5,Западный ветер,746,87,без осадков,дождь
strelna,2019,september,18,ночь,+6°,2,Западный ветер,747,93,без осадков,пасмурно
strelna,2019,september,18,утро,+7°,3,Западный ветер,747,93,без осадков,пасмурно
strelna,2019,september,18,день,+10°,4,Северный ветер,750,81,без осадков,пасмурно
strelna,2019,september,18,вечер,+10°,5,Северный ветер,752,57,без осадков,пасмурно
strelna,2019,september,19,ночь,+4°,3,Западный ветер,755,80,без осадков,ясно
strelna,2019,september,19,утро,+4°,2,Западный ветер,756,93,без осадков,ясно
strelna,2019,september,19,день,+8°,4,Северный ветер,758,61,без осадков,пасмурно
strelna,2019,september,19,вечер,+8°,4,Западный ветер,759,49,без осадков,облачно
strelna,2019,september,20,ночь,+3°,3,Южный ветер,759,80,без осадков,ясно
strelna,2019,september,20,утро,+4°,4,Западный ветер,759,93,без осадков,пасмурно
strelna,2019,september,20,день,+10°,7,Западный ветер,761,75,без осадков,малооблачно
strelna,2019,september,20,вечер,+9°,7,Западный ветер,760,43,без осадков,малооблачно
strelna,2019,september,21,ночь,+2°,3,Юго-западный ветер,759,86,без осадков,облачно
strelna,2019,september,21,утро,+4°,3,Южный ветер,757,86,без осадков,облачно
strelna,2019,september,21,день,+7°,2,Южный ветер,755,87,без осадков,пасмурно
strelna,2019,september,21,вечер,+7°,2,Северо-восточный ветер,754,93,без осадков,дождь
strelna,2019,september,22,ночь,+5°,4,Западный ветер,753,87,без осадков,пасмурно
strelna,2019,september,22,утро,+4°,5,Северо-западный ветер,755,86,без осадков,малооблачно
strelna,2019,september,22,день,+7°,7,Северо-западный ветер,757,70,без осадков,пасмурно
strelna,2019,september,22,вечер,+7°,6,Северо-западный ветер,759,52,без осадков,пасмурно
strelna,2019,september,23,ночь,+2°,6,Северо-западный ветер,762,74,без осадков,ясно
strelna,2019,september,23,утро,+2°,4,Западный ветер,763,93,без осадков,облачно
strelna,2019,september,23,день,+7°,8,Западный ветер,763,70,без осадков,пасмурно
strelna,2019,september,23,вечер,+7°,6,Западный ветер,763,52,без осадков,пасмурно
strelna,2019,september,24,ночь,+3°,3,Северо-западный ветер,763,64,без осадков,облачно
strelna,2019,september,24,утро,+2°,4,Северо-западный ветер,763,69,без осадков,малооблачно
strelna,2019,september,24,день,+7°,6,Северо-западный ветер,763,52,без осадков,малооблачно
strelna,2019,september,24,вечер,+6°,5,Западный ветер,763,52,без осадков,малооблачно
strelna,2019,september,25,ночь,+1°,2,Западный ветер,762,84,без осадков,ясно
strelna,2019,september,25,утро,+2°,1,Юго-восточный ветер,762,80,без осадков,ясно
strelna,2019,september,25,день,+2°,1,Северный ветер,762,80,без осадков,ясно
strelna,2019,september,25,вечер,+2°,1,Северный ветер,762,80,без осадков,ясно
strelna,2019,september,26,ночь,+2°,1,Северный ветер,762,80,без осадков,ясно
strelna,2019,september,26,утро,+2°,2,Северный ветер,761,100,без осадков,пасмурно
strelna,2019,september,26,день,+10°,4,Западный ветер,761,70,без осадков,малооблачно
strelna,2019,september,26,вечер,+9°,4,Западный ветер,761,71,без осадков,пасмурно
strelna,2019,september,27,ночь,+7°,3,Западный ветер,760,81,без осадков,пасмурно
strelna,2019,september,27,утро,+7°,3,Западный ветер,760,87,без осадков,пасмурно
strelna,2019,september,27,день,+10°,4,Западный ветер,761,81,без осадков,пасмурно
strelna,2019,september,27,вечер,+9°,1,Северный ветер,762,81,без осадков,пасмурно
strelna,2019,september,28,ночь,+6°,2,Восточный ветер,762,87,без осадков,пасмурно
strelna,2019,september,28,утро,+6°,2,Восточный ветер,762,93,без осадков,пасмурно
strelna,2019,september,28,день,+11°,3,Восточный ветер,761,81,без осадков,пасмурно
strelna,2019,september,28,вечер,+11°,5,Восточный ветер,759,71,без осадков,пасмурно
strelna,2019,september,29,ночь,+7°,4,Восточный ветер,756,87,без осадков,пасмурно
strelna,2019,september,29,утро,+6°,3,Восточный ветер,753,100,без осадков,ясно
strelna,2019,september,29,день,+11°,4,Восточный ветер,750,71,без осадков,облачно
strelna,2019,september,29,вечер,+9°,3,Юго-восточный ветер,749,93,без осадков,дождь
strelna,2019,september,30,ночь,+9°,3,Южный ветер,746,93,без осадков,пасмурно
strelna,2019,september,30,утро,+10°,2,Юго-восточный ветер,744,93,без осадков,пасмурно
strelna,2019,september,30,день,+13°,4,Южный ветер,743,87,без осадков,малооблачно
strelna,2019,september,30,вечер,+12°,4,Восточный ветер,742,82,без осадков,пасмурно
strelna,2019,october,1,ночь,+11°,3,Восточный ветер,740,93,без осадков,пасмурно
strelna,2019,october,1,утро,+11°,3,Восточный ветер,737,93,без осадков,пасмурно
strelna,2019,october,1,день,+10°,12,Юго-западный ветер,738,93,без осадков,пасмурно
strelna,2019,october,1,вечер,+10°,9,Юго-западный ветер,741,53,без осадков,малооблачно
strelna,2019,october,2,ночь,+5°,3,Юго-западный ветер,742,93,без осадков,пасмурно
strelna,2019,october,2,утро,+6°,7,Южный ветер,742,100,без осадков,пасмурно
strelna,2019,october,2,день,+9°,7,Южный ветер,744,87,без осадков,пасмурно
strelna,2019,october,2,вечер,+7°,8,Юго-западный ветер,748,81,без осадков,дождь
strelna,2019,october,3,ночь,+5°,2,Северо-западный ветер,754,93,без осадков,пасмурно
strelna,2019,october,3,утро,+5°,5,Северо-восточный ветер,755,86,без осадков,пасмурно
strelna,2019,october,3,день,+5°,4,Северо-восточный ветер,756,81,без осадков,дождь
strelna,2019,october,3,вечер,+5°,5,Северо-восточный ветер,755,86,без осадков,дождь
strelna,2019,october,4,ночь,+3°,3,Северный ветер,753,86,без осадков,дождь
strelna,2019,october,4,утро,+3°,5,Северный ветер,752,93,без осадков,пасмурно
strelna,2019,october,4,день,+4°,6,Западный ветер,753,80,без осадков,пасмурно
strelna,2019,october,4,вечер,+3°,3,Юго-западный ветер,754,86,без осадков,дождь
strelna,2019,october,5,ночь,+1°,6,Северо-западный ветер,755,80,без осадков,пасмурно
strelna,2019,october,5,утро,+1°,4,Северо-западный ветер,756,80,без осадков,пасмурно
strelna,2019,october,5,день,+3°,4,Северо-западный ветер,759,86,без осадков,пасмурно
strelna,2019,october,5,вечер,+4°,4,Западный ветер,761,65,без осадков,облачно
strelna,2019,october,6,ночь,0°,2,Западный ветер,763,92,без осадков,облачно
strelna,2019,october,6,утро,-1°,3,Западный ветер,763,100,без осадков,облачно
strelna,2019,october,6,день,+4°,4,Западный ветер,762,80,без осадков,пасмурно
strelna,2019,october,6,вечер,+3°,2,Северо-западный ветер,762,69,без осадков,пасмурно
strelna,2019,october,7,ночь,+1°,2,Северный ветер,760,80,без осадков,пасмурно
strelna,2019,october,7,утро,0°,1,Юго-западный ветер,759,94,без осадков,пасмурно
strelna,2019,october,7,день,+4°,3,Западный ветер,759,75,без осадков,пасмурно
strelna,2019,october,7,вечер,+3°,3,Северный ветер,758,74,без осадков,пасмурно
strelna,2019,october,8,ночь,+1°,2,Северный ветер,756,86,без осадков,пасмурно
strelna,2019,october,8,утро,+1°,3,Западный ветер,755,80,без осадков,пасмурно
strelna,2019,october,8,день,+5°,4,Западный ветер,754,60,без осадков,малооблачно
strelna,2019,october,8,вечер,+5°,5,Южный ветер,753,56,без осадков,пасмурно
strelna,2019,october,9,ночь,+4°,3,Южный ветер,751,86,без осадков,пасмурно
strelna,2019,october,9,утро,+5°,4,Южный ветер,750,86,без осадков,пасмурно
strelna,2019,october,9,день,+6°,4,Южный ветер,750,86,без осадков,пасмурно
strelna,2019,october,9,вечер,+6°,4,Юго-западный ветер,751,81,без осадков,пасмурно
strelna,2019,october,10,ночь,+4°,2,Южный ветер,753,87,без осадков,дождь
strelna,2019,october,10,утро,+5°,3,Юго-восточный ветер,752,86,без осадков,пасмурно
strelna,2019,october,10,день,+7°,3,Юго-восточный ветер,750,93,без осадков,пасмурно
strelna,2019,october,10,вечер,+7°,3,Юго-восточный ветер,750,87,без осадков,пасмурно
strelna,2019,october,11,ночь,+6°,1,Северный ветер,750,93,без осадков,туман
strelna,2019,october,11,утро,+7°,2,Южный ветер,751,93,без осадков,пасмурно
strelna,2019,october,11,день,+10°,6,Южный ветер,752,87,без осадков,пасмурно
strelna,2019,october,11,вечер,+10°,4,Южный ветер,751,76,без осадков,пасмурно
strelna,2019,october,12,ночь,+8°,5,Южный ветер,749,93,без осадков,пасмурно
strelna,2019,october,12,утро,+9°,6,Южный ветер,745,87,без осадков,пасмурно
strelna,2019,october,12,день,+11°,9,Юго-западный ветер,739,87,без осадков,пасмурно
strelna,2019,october,12,вечер,+9°,11,Юго-западный ветер,741,81,без осадков,пасмурно
strelna,2019,october,13,ночь,+7°,7,Западный ветер,746,87,без осадков,пасмурно
strelna,2019,october,13,утро,+8°,4,Юго-западный ветер,748,87,без осадков,пасмурно
strelna,2019,october,13,день,+11°,7,Юго-западный ветер,750,81,без осадков,пасмурно
strelna,2019,october,13,вечер,+10°,9,Юго-западный ветер,753,71,без осадков,малооблачно
strelna,2019,october,14,ночь,+6°,7,Юго-западный ветер,757,81,без осадков,пасмурно
strelna,2019,october,14,утро,+4°,2,Северо-западный ветер,758,93,без осадков,пасмурно
strelna,2019,october,14,день,+6°,6,Юго-восточный ветер,755,87,без осадков,пасмурно
strelna,2019,october,14,вечер,+5°,5,Северо-восточный ветер,753,93,без осадков,дождь
strelna,2019,october,15,ночь,+5°,6,Северный ветер,754,87,без осадков,дождь
strelna,2019,october,15,утро,+5°,6,Северный ветер,754,87,без осадков,дождь
strelna,2019,october,15,день,+5°,6,Северный ветер,754,87,без осадков,дождь
strelna,2019,october,15,вечер,+5°,6,Северный ветер,754,87,без осадков,дождь
strelna,2019,october,16,ночь,+2°,4,Восточный ветер,768,86,без осадков,облачно
strelna,2019,october,16,утро,+2°,6,Восточный ветер,766,92,без осадков,малооблачно
strelna,2019,october,16,день,+5°,6,Восточный ветер,761,80,без осадков,пасмурно
strelna,2019,october,16,вечер,+5°,3,Северо-восточный ветер,759,81,без осадков,пасмурно
strelna,2019,october,17,ночь,+5°,4,Северо-восточный ветер,757,81,без осадков,пасмурно
strelna,2019,october,17,утро,+5°,4,Северо-восточный ветер,757,81,без осадков,пасмурно
strelna,2019,october,17,день,+5°,5,Северо-восточный ветер,756,86,без осадков,пасмурно
strelna,2019,october,17,вечер,+4°,3,Северо-восточный ветер,756,93,без осадков,дождь
strelna,2019,october,18,ночь,+4°,3,Северо-восточный ветер,758,93,без осадков,пасмурно
strelna,2019,october,18,утро,+4°,3,Восточный ветер,758,93,без осадков,небольшой
strelna,2019,october,18,день,+6°,3,Восточный ветер,759,93,без осадков,туман
strelna,2019,october,18,вечер,+6°,3,Западный ветер,760,93,без осадков,пасмурно
strelna,2019,october,19,ночь,+6°,3,Восточный ветер,759,93,без осадков,туман
strelna,2019,october,19,утро,+10°,3,Восточный ветер,758,93,без осадков,пасмурно
strelna,2019,october,19,день,+12°,5,Южный ветер,756,87,без осадков,малооблачно
strelna,2019,october,19,вечер,+12°,4,Южный ветер,757,87,без осадков,пасмурно
strelna,2019,october,20,ночь,+8°,4,Юго-западный ветер,759,87,без осадков,облачно
strelna,2019,october,20,утро,+7°,4,Юго-западный ветер,760,87,без осадков,облачно
strelna,2019,october,20,день,+12°,4,Юго-западный ветер,762,81,без осадков,малооблачно
strelna,2019,october,20,вечер,+9°,2,Южный ветер,762,81,без осадков,ясно
strelna,2019,october,21,ночь,+7°,3,Восточный ветер,758,93,без осадков,дождь
strelna,2019,october,21,утро,+11°,5,Юго-западный ветер,756,93,без осадков,пасмурно
strelna,2019,october,21,день,+10°,7,Западный ветер,759,87,без осадков,пасмурно
strelna,2019,october,21,вечер,+5°,5,Западный ветер,762,93,без осадков,пасмурно
strelna,2019,october,22,ночь,+4°,1,Северный ветер,765,86,без осадков,пасмурно
strelna,2019,october,22,утро,+5°,5,Южный ветер,763,93,без осадков,пасмурно
strelna,2019,october,22,день,+9°,6,Южный ветер,760,75,без осадков,пасмурно
strelna,2019,october,22,вечер,+8°,6,Южный ветер,756,93,без осадков,пасмурно
strelna,2019,october,23,ночь,+10°,6,Юго-западный ветер,755,76,без осадков,пасмурно
strelna,2019,october,23,утро,+10°,7,Юго-западный ветер,755,76,без осадков,пасмурно
strelna,2019,october,23,день,+11°,8,Западный ветер,757,71,без осадков,пасмурно
strelna,2019,october,23,вечер,+10°,7,Западный ветер,759,71,без осадков,пасмурно
strelna,2019,october,24,ночь,+8°,3,Юго-западный ветер,761,87,без осадков,малооблачно
strelna,2019,october,24,утро,+8°,2,Южный ветер,761,87,без осадков,пасмурно
strelna,2019,october,24,день,+11°,4,Юго-западный ветер,762,87,без осадков,пасмурно
strelna,2019,october,24,вечер,+10°,4,Юго-западный ветер,762,71,без осадков,пасмурно
strelna,2019,october,25,ночь,+7°,2,Южный ветер,762,75,без осадков,пасмурно
strelna,2019,october,25,утро,+7°,3,Южный ветер,761,86,без осадков,пасмурно
strelna,2019,october,25,день,+14°,6,Юго-восточный ветер,758,81,без осадков,пасмурно
strelna,2019,october,25,вечер,+11°,5,Южный ветер,754,71,без осадков,малооблачно
strelna,2019,october,26,ночь,+11°,6,Юго-западный ветер,753,82,без осадков,пасмурно
strelna,2019,october,26,утро,+11°,9,Юго-западный ветер,753,76,без осадков,пасмурно
strelna,2019,october,26,день,+10°,9,Юго-западный ветер,752,72,0.6 мм,малооблачно
strelna,2019,october,26,вечер,+7°,4,Юго-восточный ветер,750,100,без осадков,дождь
strelna,2019,october,27,ночь,+5°,7,Юго-западный ветер,746,87,без осадков,пасмурно
strelna,2019,october,27,утро,+5°,4,Юго-западный ветер,749,93,без осадков,пасмурно
strelna,2019,october,27,день,+5°,5,Юго-западный ветер,747,100,без осадков,малооблачно
strelna,2019,october,27,вечер,+3°,6,Восточный ветер,741,100,без осадков,дождь
strelna,2019,october,28,ночь,0°,9,Западный ветер,746,100,без осадков,пасмурно
strelna,2019,october,28,утро,0°,7,Северо-западный ветер,751,92,без осадков,пасмурно
strelna,2019,october,28,день,+2°,2,Северо-западный ветер,755,80,без осадков,облачно
strelna,2019,october,28,вечер,+1°,2,Юго-западный ветер,758,69,без осадков,малооблачно
strelna,2019,october,29,ночь,0°,3,Юго-восточный ветер,757,97,без осадков,пасмурно
strelna,2019,october,29,утро,0°,4,Южный ветер,756,97,без осадков,снег
strelna,2019,october,29,день,0°,6,Западный ветер,757,80,без осадков,пасмурно
strelna,2019,october,29,вечер,0°,5,Северо-западный ветер,759,77,без осадков,пасмурно
strelna,2019,october,30,ночь,-2°,6,Северо-западный ветер,761,74,без осадков,пасмурно
strelna,2019,october,30,утро,-2°,7,Северо-западный ветер,763,79,без осадков,пасмурно
strelna,2019,october,30,день,-1°,6,Северо-западный ветер,765,68,без осадков,пасмурно
strelna,2019,october,30,вечер,-2°,4,Северо-западный ветер,766,74,без осадков,пасмурно
strelna,2019,october,31,ночь,-4°,1,Северный ветер,766,92,без осадков,пасмурно
strelna,2019,october,31,утро,-2°,4,Северный ветер,764,92,без осадков,малооблачно
strelna,2019,october,31,день,+1°,6,Южный ветер,761,84,без осадков,пасмурно
strelna,2019,october,31,вечер,+1°,6,Южный ветер,759,93,без осадков,пасмурно
strelna,2019,november,1,ночь,+1°,3,Юго-западный ветер,756,100,без осадков,дождь
strelna,2019,november,1,утро,+1°,4,Юго-западный ветер,756,93,без осадков,пасмурно
strelna,2019,november,1,день,+2°,6,Западный ветер,756,80,без осадков,пасмурно
strelna,2019,november,1,вечер,0°,4,Северо-западный ветер,758,74,без осадков,пасмурно
strelna,2019,november,2,ночь,0°,2,Северный ветер,759,88,без осадков,пасмурно
strelna,2019,november,2,утро,-1°,3,Юго-восточный ветер,759,86,без осадков,пасмурно
strelna,2019,november,2,день,+1°,6,Юго-восточный ветер,756,80,без осадков,пасмурно
strelna,2019,november,2,вечер,0°,6,Восточный ветер,754,88,без осадков,пасмурно
strelna,2019,november,3,ночь,0°,5,Юго-восточный ветер,748,96,без осадков,дождь
strelna,2019,november,3,утро,+1°,5,Южный ветер,745,93,без осадков,пасмурно
strelna,2019,november,3,день,+2°,3,Южный ветер,745,93,без осадков,пасмурно
strelna,2019,november,3,вечер,+3°,2,Южный ветер,746,93,без осадков,дождь
strelna,2019,november,4,ночь,+2°,2,Юго-западный ветер,748,93,без осадков,пасмурно
strelna,2019,november,4,утро,+2°,5,Северный ветер,749,93,без осадков,дождь
strelna,2019,november,4,день,+2°,6,Северо-восточный ветер,750,93,без осадков,снег
strelna,2019,november,4,вечер,+2°,5,Северо-восточный ветер,750,72,без осадков,пасмурно
strelna,2019,november,5,ночь,0°,7,Северо-восточный ветер,750,80,без осадков,пасмурно
strelna,2019,november,5,утро,0°,8,Северо-восточный ветер,749,80,без осадков,пасмурно
strelna,2019,november,5,день,0°,7,Северо-восточный ветер,746,80,без осадков,пасмурно
strelna,2019,november,5,вечер,0°,7,Северный ветер,744,86,без осадков,пасмурно
strelna,2019,november,6,ночь,+1°,8,Северный ветер,745,86,без осадков,пасмурно
strelna,2019,november,6,утро,+1°,7,Северный ветер,748,59,без осадков,пасмурно
strelna,2019,november,6,день,+1°,6,Северо-восточный ветер,751,69,без осадков,пасмурно
strelna,2019,november,6,вечер,0°,5,Северо-восточный ветер,753,70,без осадков,пасмурно
strelna,2019,november,7,ночь,-3°,6,Северо-восточный ветер,753,74,без осадков,пасмурно
strelna,2019,november,7,утро,-3°,5,Восточный ветер,755,85,без осадков,пасмурно
strelna,2019,november,7,день,-2°,6,Восточный ветер,757,85,без осадков,облачно
